clauses,fairness level
information is provided about how they collect personal data,0
they may stop providing the service at any time,1
third parties may be involved in operating the service,1
"you agree to defend, indemnify, and hold the service harmless in case of a claim related to your use of the service",1
the service does not guarantee accuracy or reliability of the information provided,1
users agree to comply with the law of the service's country,1
this service is only available to users of a certain age,1
you cannot distribute or disclose your account to third parties,1
"you agree not to submit libelous, harassing or threatening content",1
"your ip address is collected, which can be used to view your approximate location",1
this service informs you that its terms of service does not apply to third party websites,1
there is a date of the last update of the agreements,1
you are responsible for maintaining the security of your account and for the activities on your account,1
blocking first party cookies may limit your ability to use the service,1
your personal data is aggregated into statistics,1
this service ignores the do not track (dnt) header and tracks users anyway even if they set this header.,1
this service forces users into binding arbitration in the case of disputes,1
you waive your right to a class action.,1
you are forced into binding arbitration in case of disputes,1
this service gives your personal data to third parties involved in its operation,1
"you are tracked via web beacons, tracking pixels, browser fingerprinting, and/or device fingerprinting",1
your personal information is used for many different purposes,1
this service reserves the right to disclose your personal information without notifying you,1
do not track (dnt) headers are ignored and you are tracked anyway even if you set this header.,1
"terms may be changed any time at their discretion, without notice to you",1
information is gathered about you through third parties,1
your personal data may be sold or otherwise transferred as part of a bankruptcy proceeding or other type of financial transaction,1
this service tracks you on other websites,1
"the service may keep a secure, anonymized record of your data for analytical purposes even after the data retention period",1
some personal data may be kept for business interests or legal obligations,1
sensitive data is collected and shared to target advertising,1
there is a date of the last update of the terms,1
"if you are the target of a copyright claim, your content may be removed",1
"terms may be changed any time at their discretion, without notice to the user",1
the service reviews its privacy policy on a regular basis,0
blocking first party cookies may limit your ability to use the service,1
you are solely responsible for claims made against the service and agree to indemnify and hold harmless the service.,1
this service assumes no liability for any losses or damages resulting from any matter relating to the service,1
the service can distribute your content through any media known now or in the future,1
invalidity of any portion of the terms of service does not entail invalidity of its remainder,1
the service does not guarantee accuracy or reliability of the information provided,1
the service collects many different types of personal data,1
third-party cookies are used for statistics,1
the service is transparent regarding government requests or inquiries that may involve user data.,0
this service ignores the do not track (dnt) header and tracks users anyway even if they set this header.,1
you must provide your identifiable information,1
the service may use tracking pixels and device fingerprinting on users.,1
the service can sell or otherwise transfer your personal data as part of a bankruptcy proceeding or other type of financial transaction.,1
this service reserves the right to disclose your personal information without notifying you,1
any liability on behalf of the service is only limited to the fees you paid as a user or $100,1
"the court of law governing the terms is in a jurisdiction (nevada, usa) that is less friendly to user privacy protection",1
your data is processed and stored in a country that is less friendly to user privacy protection,1
the service uses your personal data for advertising,1
"terms may be changed any time at their discretion, without notice to the user",1
blocking first party cookies may limit your ability to use the service,1
"this service prohibits users sending chain letters, junk mail, spam or any unsolicited messages.",1
the service is provided 'as is' and to be used at the users' sole risk,1
"this service collects your ip address, which can be used to view your approximate location",1
this service does not guarantee that it or the products obtained through it meet the users' expectations or requirements,1
this service can delete your content if you violate the terms,1
this service assumes no liability for any losses or damages resulting from any matter relating to the service,1
this service does not condone any ideas contained in its user-generated contents,1
this service is only available to users over 13 years of age,1
there is a date of the last update of the agreements,1
the service has non-exclusive use of your content,0
the service provides information about how they intend to use your personal data,0
content removal from the service will be fair and proportionate.,0
the service provides details about what kinds of personal information they collect,0
prohibits the publishing of personally identifiable information without the owner’s consent,0
you can choose with whom you share content,0
your personal data is not sold,0
"this service offers a symbolic but nonbinding statement about a matter of opinion, ethics, society, or politics",0
this service does not force users into binding arbitration,0
"users can scrape the site, as long as it doesn't impact the server too much",0
the service provides a free help desk,0
you have the right to leave this service at any time,0
you can opt out of promotional communications,0
promises will be kept after a merger or acquisition,0
you maintain ownership of your content,0
user accounts can be terminated after having been in breach of the terms of service repeatedly,0
copyright license limited for the purposes of that same service but transferable and sublicenseable,0
"you can stop using the service and/or cancel or delete your account at any time for any reason. moreover, the termination is reasonably fast and simple.",0
you are entirely responsible for maintaining the security of your user name and password and agree not to disclose such to any third party.,1
"zoom may, in its sole discretion, discontinue the services or modify the features of the services from time to time without prior notice.",1
zoom reserves the right to require arbitration.,1
"tracking technologies (such as web beacons, tracking pixels...) are employed on users and/or the service assigns a unique id to a browser or device to track its behaviour.",1
zoom contractually prohibits such vendors from using the personal data for any reason other than to provide the contracted-for services and zoom contractually requires its vendors to comply with all appropriate privacy and security requirements.,0
"users have the right to access personal data hold by the service, correct it and/or permanently delete it. this usually applies to services gdpr compliants.",0
"this service may employ, either identifiable or non-identifiable, data collection from third party sources about you.",1
"you retain copyright and any other rights you already hold in content which you submit, post or display on or through, the services",0
location-based information is collected and may be used and/or shared with third parties for purposes not directly related to the services provided (i.e. the service doesn't rely on the use or share of location data to function properly).,1
"this service provider informs its users that the services, information, products, or other materials provided on its website may not meet the users' expectations or requirements.",1
"you agree to indemnify, defend and hold harmless zoom, its affiliates, officers, directors, employees, consultants, agents, suppliers and resellers from any and all third party claims, liability, damages and/or costs (including, but not limited to, attorneys' fees) arising from your use of the services, your violation of this agreement or the infringement or violation by you or any other user of your account, of any intellectual property or other right of any person or entity or applicable law.",1
"your ip address is collected, which can be used to view your approximate location",1
"zoom video communications, inc. (“zoom”) and our partners use cookies or similar technologies to analyze trends, administer and track users’ movements during your visit to our website",1
"the service may use your personal data for marketing, such as sending you personalised offerings.",1
we provide personal data to vendors and services providers to help us provide the services and for zoom’s business purposes.,1
we may need to retain certain information for record-keeping purposes or to complete transactions that you began prior to requesting any deletion.,1
you have a reduced time period to take legal action against the service,1
your access may be terminated without warning if we believe that you are under the age of 16 or are otherwise ineligible,1
users are responsible for any harm to their computer system or loss of data they may incur through the download of materials from the service.,1
"you agree that zoom may charge to your credit card or other payment mechanism selected by you and approved by zoom (""your account"") all amounts due and owing for the services, including taxes and service fees, set up fees, subscription fees, or any other fee or charge associated with your account.",1
"if you opt out of interest-based advertising, we store your opt-out preference in a cookie on your device.",0
"deleting your account removes all messages, media, contacts and every other piece of data you store in the telegram cloud. this action must be confirmed via your telegram account and cannot be undone.",0
"we don’t use your data for ad targeting, we don’t sell it to others",0
"logs are text files containing some information about web visitors, such as user agents (showing for instance that you're connecting from firefox for android) and ip addresses (which reveal your approximate location). this case applies to services that periodically delete their logs to prevent user sessions being tracked over time",0
"when you enable 1-step-verification for your account or store documents using the telegram passport feature, you can opt to set up a password recovery email",0
"when you send photos, videos or files via secret chats, before being uploaded, each item is encrypted with a separate key, not known to the server. this key and the file’s location are then encrypted again, this time with the secret chat’s key and sent to your recipient. they can then download and decipher the file. this means that the file is technically on one of telegram’s servers, but it looks like a piece of random indecipherable garbage to everyone except for you and the recipient. we don’t know what this random data stands for and we have no idea which particular chat it belongs to. we periodically purge this random data from our servers to save disk space.",0
the content you have published on the service may be removed if it infringes copyright.,1
"to improve the security of your account, as well as to prevent spam, abuse, and other violations of our terms of service, we may collect metadata such as your ip address, devices and telegram apps you've used, history of username changes, etc.",1
"you may choose to block cookies with your web browser, however, if you do disable these cookies you will not be able to log in to telegram web.",1
"the agreements can be updated at any time, including in a way that negatively affects user rights, without notifying before or after the changes.",1
windscribe reserves the right to modify these terms of use at any time upon posting,1
this service takes credit for your content,1
accessibility to this service is guaranteed at 99% or more,0
we do not use any 3rd party tracking or analytics services,0
"the cookies used only collect anonymous, aggregated data that cannot be linked to a unique identity.",0
only necessary logs are kept by the service to ensure quality,0
"you can stop using the service and/or cancel or delete your account at any time for any reason. moreover, the termination is reasonably fast and simple.",0
"the agreements are well-organised, define legal terms (where applicable), aren't needlessly long and may be pleasant to read.",0
"windscribe reserves the right to terminate, suspend or otherwise restrict your access to this site, or any associated tool or services, with or without notice at any time for any reason whatsoever",1
"the service infers your acceptance from your continued usage, instead of prompting you to read the terms and asking for direct consent.",1
the service does not allow users to publicly post private messages they have received from other users.,0
"the privacy policy explains the purposes for which data is collected and the way it is processed, used and shared.",0
the privacy policy describes in detail the data collected through the website and through the services provided.,0
you can opt-out of email marketing and push notifications using the email and push notification options in your account and settings page.,0
"by accessing or using our services, you agree to adhere to the community guidelines",1
"by registering for an account, you further agree to (a) provide accurate, truthful, current and complete information.",1
"in order to access certain areas and features of our services, you will need to register for an account using either your email address or your login credentials from a third-party social media site.",1
"political content in the form or pictures, discussions, or campaigning isn't allowed.",1
"services that do not allow multiple or alternative accounts are covered by this case. alternative accounts can contribute to an increased privacy, but can also be used to manipulate discussions and polls and might decrease the trustworthiness of a person",1
"at any time, your account can be terminated without explanation and without warning by the service",1
"users are asked not to interfere with another person't enjoyment in using the service. however, this statement is very vague and open to interpretation by the service itself.",1
information we collect from other sources we may also obtain information from other sources and combine that with information we collect through our services.,1
"the service is able to access, scan, review or read all user communications, including private messages, which may contain personal or sensitive data.",1
"we have no obligation to post member content from you or anyone else and we may, in our sole discretion, edit, remove or delete any member content without notice.",1
we may allow third parties to serve advertisements on our behalf across the internet and to provide analytics services in relation to the use of our services.,1
"the service may still use your content and display it after you stopped using it by closing your account, since you granted them a perpetual or (in some cases) an unlimited license over that content",1
you and couchsurfing agree to arbitrate any dispute arising from these terms or relating to the services,1
couchsurfing may offer the opportunity to purchase products and services from third parties. you acknowledge that such products and services are offered and sold to you by one or more third parties.,1
you can get the totality of your messages at any time in an xml file.,0
"you can stop using the service and/or cancel or delete your account at any time for any reason. moreover, the termination is reasonably fast and simple.",0
"this service does not claim ownership over user-generated content or materials, and the user doesn't need to waive any moral rights by posting owned content.",0
you have the right to choose or change the copyright license over content you publish through the service.,0
users are responsible for any harm to their computer system or loss of data they may incur through the download of materials from the service.,1
"the site fails to implement https, not even for sending sensitive information like user login credentials.",1
"when you visit the website over http, you are not redirected to https.",1
the service provides users with a complete list of all first and third party cookies its website sets and an explanation of their uses. this information can be valuable for users to make an informed choice whether to allow those cookies.,0
you keep the copyright in your submission.,0
this service can use your content for all their existing and future services,1
"third party cookies are employed, but with opt out instructions",1
location-based information is collected and may be used and/or shared with third parties for purposes not directly related to the services provided (i.e. the service doesn't rely on the use or share of location data to function properly).,1
"your interaction with the service and data you have shared with them may be gathered to create an advertising id or profile to target ads on you, either on the website you were visiting or in third party websites.",1
"to stop receiving promotional communications from us, you can opt out by using the unsubscribe mechanism in the promotional communication you receive or by changing the email preferences in your account.",0
" in order to use certain features (like enrolling in a course), you need to create a user account",0
"an approximate geographic location, including information like country, city, and geographic coordinates, calculated based on your ip address",1
"udemy and service providers acting on our behalf (like google analytics and third-party advertisers) use server log files and automated data collection tools like cookies, tags, scripts, customized links, device or browser fingerprints, and web beacons (together,“data collection tools“) when you access and use the services.",1
shopify will use its commercially reasonable efforts to provide you with customer support to help resolve issues relating to the payments services.,0
users can request a copy of the data collected through the services and infer from it the amount of personal information that is processed and stored by the service. this usually applies to services gdpr compliants.,0
"once provided with a notice of takedown, the merchant can reply with a counter notification using our form if they object to the complaint.",0
"depending on how you use shopify, you may have the right to request access to, correct, amend, delete",0
these cookies only gather information for statistical purposes and only use pseudonymous cookie identifiers that do not directly identify you,0
you retain ownership over all materials that you upload to the store,0
"you represent to us that you have obtained all necessary rights and consents under applicable law to allow us and the processor to collect, use, retain, and disclose any cardholder data that you provide to, or authorize us to collect, including information that we may collect directly from you of your customers via cookies or other means and to use that data to provide the payments services",0
"where permitted by law, we will make reasonable efforts to provide you notice of such legal process by sending a copy to the email address we have on file for you",0
"if a third party requests your personal information, we will refuse to share it unless you give us permission or we are legally required.",0
"by submitting any idea you agree that your disclosure is gratuitous, unsolicited and without restriction, and will not place us under any fiduciary or other obligation, and that we are free to use the idea without any additional compensation to you, and/or to disclose the idea on a non-confidential basis or otherwise to anyone.",0
the service provides users with a complete list of all first and third party cookies its website sets and an explanation of their uses. this information can be valuable for users to make an informed choice whether to allow those cookies.,0
payments are final and can't be refunded unless required by law.,1
your use of the services is at your sole risk. the services are provided on an “as is” and “as available” basis,1
the service rejects any responsibility for the contents of other websites to which it links.,1
"the service provider expressly does not claim to provide uninterrupted, timely, secure or error-free service",1
this service makes no warranty regarding the accuracy or reliability of any information that is given on its website or the results that may be obtained from the use of the service.,1
"this service provider informs its users that the services, information, products, or other materials provided on its website may not meet the users' expectations or requirements.",1
"your ip address is collected, which can be used to view your approximate location",1
"shopify does not warrant that the quality of any products, services, information, or other materials purchased or obtained by you through the services will meet your expectations, or that any errors in the services will be corrected.",1
"we may terminate this agreement and close your shopify payments account at any time, for any reason",1
these cookies can track your device’s visits to our website and other sites,1
many third parties are involved in operating the service,1
shopify reserves the right to update and change the terms of service by posting updates and changes to the shopify website. you are advised to check the terms of service from time to time for any updates or changes that may impact you.,1
"by accepting the terms of this agreement, you are providing us with authorization to retrieve information about you by using third parties, including credit bureaus and other information providers.",1
users agree to use the service and its software as provided and accept that any errors within that software may not be corrected.,1
"data sharing with ad networks to improve your marketing campaigns, your customer data is used to optimize and personalize the ads targeting existing and prospective customers",1
"shopify limits customer tracking by downgrading its own non-essential cookies, outlined in our cookie policy, to session cookies",1
the service can be easily contacted for questions or provides a support center at no extra cost.,0
"the privacy policy explains the purposes for which data is collected and the way it is processed, used and shared.",0
"you do not need to provide information directly to us in order to view the sites. however, when you use certain functions on the sites, such as accessing certain features or content, registering for certain services, setting up a profile or contacting the sites directly, you may provide us or we may ask for personally identifiable information or other information",0
"we may employ the third parties to perform sites-related services, including maintenance services, database management, data processing, analytics, marketing, and email and text message distribution. access to your information is granted to these third parties only for the purpose of performing these tasks.",1
"similarly, our third party partners may use cookies to determine whether we've shown an ad and how it performed, or collect information about how you interact with ads.",1
"using information collected through cookies, web beacons, and other sources, we may use demographic data or information about your online activities or interests to display or communicate targeted advertising that may be relevant to your preferences",1
"you agree to defend, indemnify, and hold the service harmless in case of a claim related to your use of the service",1
"you are solely responsible for the activity that occurs on your profile or account, and you must keep the password for your profile or account secure at all times",1
this service makes no warranty regarding the accuracy or reliability of any information that is given on its website or the results that may be obtained from the use of the service.,1
"however, please note that if you do not accept cookies, you may not be able to view or use parts of our website or other online services due to limited functionality.",1
some cookies we use are strictly necessary to enable us to provide our website and application services to you (such as cookies that provide your log-in status when that account id is linked to functionality on our website).,1
"we use cookies (like many online service providers), including third-party cookies, for a number of reasons, like to recognize you when you visit our website or applications, remember your preferences, give you a personalized experience consistent with your browser settings and to make your interactions with myanimelist faster and more secure.",1
"the service provider expressly does not claim to provide uninterrupted, timely, secure or error-free service.",1
"these third parties may collect information about you and your online activities, either on the sites or on other websites, through cookies, web beacons, and other technologies to understand your interests and tailor certain advertisements to your interests.",1
do not track (dnt) headers are ignored and you are tracked anyway even if you set this header.,1
"performance, analytics and research cookies help us research and measure the effectiveness of our interactive online features, content, advertisements, and other communications. we also use cookies to track our website and application analytics and use.",1
"our third party partners may use cookies to determine whether we've shown an ad and how it performed, or collect information about how you interact with ads",1
"we may share information about you in the event that the sites are acquired by a third party or third parties, or as part of a sale, merger, bankruptcy or change in control, or in preparation for any of these events.",1
"the service is able to access, scan, review or read all user communications, including private messages, which may contain personal or sensitive data.",1
"however, they are obligated not to disclose or use the information for any other purpose.",0
the service provides details about what kinds of personal information they collect,0
"the service may update the terms without notice, but if they significantly change the agreements in a manner that importantly and/or negatively affects the way the service is used, users will be notified at least 30 days in advance.",0
"you have the option to either accept or refuse these cookies, and know when a cookie is being sent to your computer. if you choose to refuse our cookies, you may not be able to use some portions of our service",1
"we want to inform you that whenever you visit our service, we collect information that your browser sends to us that is called log data. this log data may include information such as your computer’s internet protocol (“ip”) address,",1
"company reserves the right to change, suspend, or cease the site with or without notice to you.",1
"company grants you a non-transferable, non-exclusive, revocable, limited license to access the site solely for your own personal, noncommercial use.",1
"if any provision of these terms is held to be invalid or unenforceable, the other provisions of these terms will be unimpaired and the invalid or unenforceable provision will be deemed modified so that it is valid and enforceable to the maximum extent permitted by law.",1
this service does not guarantee that it or the products obtained through it meet the users' expectations or requirements,1
we may employ third-party companies and individuals due to the following reasons: to facilitate our service; to provide the service on our behalf; to perform service-related services. or to assist us in analyzing how our service is used.,1
"cookies and web beacons. like any other website, pure dating uses ‘cookies’. these cookies are used to store information including visitors’ preferences, and the pages on the website that the visitor accessed or visited. the information is used to optimize the users’ experience by customizing our web page content based on visitors’ browser type and/or other information.",1
