,clauses,fairness level
214,"['agre', 'defend', 'indemnifi', 'hold', 'servic', 'harmless', 'case', 'claim', 'relat', 'use', 'servic']",1
215,"['servic', 'guarante', 'accuraci', 'reliabl', 'inform', 'provid']",1
216,"['user', 'agre', 'compli', 'law', 'servic', 's', 'countri']",1
217,"['servic', 'avail', 'user', 'certain', 'age']",1
218,"['distribut', 'disclos', 'account', 'third', 'parti']",1
219,"['agre', 'submit', 'libel', 'harass', 'threaten', 'content']",1
220,"['ip', 'address', 'collect', 'use', 'view', 'approxim', 'locat']",1
221,"['servic', 'inform', 'term', 'servic', 'appli', 'third', 'parti', 'websit']",1
222,"['date', 'last', 'updat', 'agreement']",1
223,"['respons', 'maintain', 'secur', 'account', 'activ', 'account']",1
224,"['block', 'first', 'parti', 'cooki', 'may', 'limit', 'abil', 'use', 'servic']",1
225,"['person', 'data', 'aggreg', 'statist']",1
226,"['servic', 'ignor', 'track', 'dnt', 'header', 'track', 'user', 'anyway', 'even', 'set', 'header']",1
227,"['servic', 'forc', 'user', 'bind', 'arbitr', 'case', 'disput']",1
228,"['waiv', 'right', 'class', 'action']",1
229,"['forc', 'bind', 'arbitr', 'case', 'disput']",1
230,"['servic', 'give', 'person', 'data', 'third', 'parti', 'involv', 'oper']",1
231,"['track', 'via', 'web', 'beacon', 'track', 'pixel', 'browser', 'fingerprint', 'and', 'or', 'devic', 'fingerprint']",1
232,"['person', 'inform', 'use', 'mani', 'differ', 'purpos']",1
233,"['servic', 'reserv', 'right', 'disclos', 'person', 'inform', 'without', 'notifi']",1
234,"['track', 'dnt', 'header', 'ignor', 'track', 'anyway', 'even', 'set', 'header']",1
235,"['term', 'may', 'chang', 'time', 'discret', 'without', 'notic']",1
236,"['inform', 'gather', 'third', 'parti']",1
237,"['person', 'data', 'may', 'sell', 'otherwis', 'transfer', 'part', 'bankruptci', 'proceed', 'type', 'financi', 'transact']",1
238,"['servic', 'track', 'websit']",1
239,"['servic', 'may', 'keep', 'secur', 'anonym', 'record', 'data', 'analyt', 'purpos', 'even', 'data', 'retent', 'period']",1
240,"['person', 'data', 'may', 'keep', 'busi', 'interest', 'legal', 'oblig']",1
241,"['sensit', 'data', 'collect', 'share', 'target', 'advertis']",1
242,"['date', 'last', 'updat', 'term']",1
243,"['target', 'copyright', 'claim', 'content', 'may', 'remov']",1
244,"['term', 'may', 'chang', 'time', 'discret', 'without', 'notic', 'user']",1
245,"['servic', 'review', 'privaci', 'polici', 'regular', 'basi']",0
246,"['block', 'first', 'parti', 'cooki', 'may', 'limit', 'abil', 'use', 'servic']",1
247,"['sole', 'respons', 'claim', 'make', 'servic', 'agre', 'indemnifi', 'hold', 'harmless', 'servic']",1
248,"['servic', 'assum', 'liabil', 'loss', 'damag', 'result', 'matter', 'relat', 'servic']",1
249,"['servic', 'distribut', 'content', 'medium', 'know', 'futur']",1
250,"['invalid', 'portion', 'term', 'servic', 'entail', 'invalid', 'remaind']",1
251,"['servic', 'guarante', 'accuraci', 'reliabl', 'inform', 'provid']",1
252,"['servic', 'collect', 'mani', 'differ', 'type', 'person', 'data']",1
253,"['third', 'parti', 'cooki', 'use', 'statist']",1
254,"['servic', 'transpar', 'regard', 'govern', 'request', 'inquiri', 'may', 'involv', 'user', 'data']",0
255,"['servic', 'ignor', 'track', 'dnt', 'header', 'track', 'user', 'anyway', 'even', 'set', 'header']",1
256,"['must', 'provid', 'identifi', 'inform']",1
257,"['servic', 'may', 'use', 'track', 'pixel', 'devic', 'fingerprint', 'user']",1
258,"['servic', 'sell', 'otherwis', 'transfer', 'person', 'data', 'part', 'bankruptci', 'proceed', 'type', 'financi', 'transact']",1
259,"['servic', 'reserv', 'right', 'disclos', 'person', 'inform', 'without', 'notifi']",1
260,"['liabil', 'behalf', 'servic', 'limit', 'fee', 'pay', 'user', '100']",1
261,"['court', 'law', 'govern', 'term', 'jurisdict', 'nevada', 'usa', 'less', 'friendli', 'user', 'privaci', 'protect']",1
262,"['data', 'process', 'store', 'countri', 'less', 'friendli', 'user', 'privaci', 'protect']",1
263,"['servic', 'use', 'person', 'data', 'advertis']",1
264,"['term', 'may', 'chang', 'time', 'discret', 'without', 'notic', 'user']",1
265,"['block', 'first', 'parti', 'cooki', 'may', 'limit', 'abil', 'use', 'servic']",1
266,"['servic', 'prohibit', 'user', 'send', 'chain', 'letter', 'junk', 'mail', 'spam', 'unsolicit', 'messag']",1
267,"['servic', 'provid', 'a', 'use', 'user', 'sole', 'risk']",1
268,"['servic', 'collect', 'ip', 'address', 'use', 'view', 'approxim', 'locat']",1
269,"['servic', 'guarante', 'product', 'obtain', 'meet', 'user', 'expect', 'requir']",1
270,"['servic', 'delet', 'content', 'violat', 'term']",1
271,"['servic', 'assum', 'liabil', 'loss', 'damag', 'result', 'matter', 'relat', 'servic']",1
272,"['servic', 'condon', 'idea', 'contain', 'user', 'gener', 'content']",1
273,"['servic', 'avail', 'user', '13', 'year', 'age']",1
274,"['date', 'last', 'updat', 'agreement']",1
275,"['servic', 'non', 'exclus', 'use', 'content']",0
276,"['servic', 'provid', 'inform', 'intend', 'use', 'person', 'data']",0
277,"['content', 'remov', 'servic', 'fair', 'proportion']",0
278,"['servic', 'provid', 'detail', 'kind', 'person', 'inform', 'collect']",0
279,"['prohibit', 'publish', 'person', 'identifi', 'inform', 'without', 'owner', 'consent']",0
280,"['choos', 'share', 'content']",0
281,"['person', 'data', 'sell']",0
282,"['servic', 'offer', 'symbol', 'nonbind', 'statement', 'matter', 'opinion', 'ethic', 'societi', 'polit']",0
283,"['servic', 'forc', 'user', 'bind', 'arbitr']",0
284,"['user', 'scrape', 'site', 'long', 'n', 't', 'impact', 'server', 'much']",0
285,"['servic', 'provid', 'free', 'help', 'desk']",0
286,"['right', 'leav', 'servic', 'time']",0
287,"['opt', 'promot', 'commun']",0
288,"['promis', 'keep', 'merger', 'acquisit']",0
289,"['maintain', 'ownership', 'content']",0
290,"['user', 'account', 'termin', 'breach', 'term', 'servic', 'repeatedli']",0
291,"['copyright', 'licens', 'limit', 'purpos', 'servic', 'transfer', 'sublicens']",0
292,"['stop', 'use', 'servic', 'and', 'or', 'cancel', 'delet', 'account', 'time', 'reason', 'moreov', 'termin', 'reason', 'fast', 'simpl']",0
293,"['entir', 'respons', 'maintain', 'secur', 'user', 'name', 'password', 'agre', 'disclos', 'third', 'parti']",1
294,"['zoom', 'may', 'sole', 'discret', 'discontinu', 'servic', 'modifi', 'featur', 'servic', 'time', 'time', 'without', 'prior', 'notic']",1
295,"['zoom', 'reserv', 'right', 'requir', 'arbitr']",1
296,"['track', 'technolog', 'web', 'beacon', 'track', 'pixel', 'employ', 'user', 'and', 'or', 'servic', 'assign', 'uniqu', 'id', 'browser', 'devic', 'track', 'behaviour']",1
297,"['zoom', 'contractu', 'prohibit', 'vendor', 'use', 'person', 'data', 'reason', 'provid', 'contract', 'for', 'servic', 'zoom', 'contractu', 'requir', 'vendor', 'compli', 'appropri', 'privaci', 'secur', 'requir']",0
298,"['user', 'right', 'access', 'person', 'data', 'hold', 'servic', 'correct', 'and', 'or', 'perman', 'delet', 'usual', 'appli', 'servic', 'gdpr', 'compliant']",0
299,"['servic', 'may', 'employ', 'either', 'identifi', 'non', 'identifi', 'data', 'collect', 'third', 'parti', 'sourc']",1
300,"['retain', 'copyright', 'right', 'alreadi', 'hold', 'content', 'submit', 'post', 'display', 'servic']",0
301,"['locat', 'base', 'inform', 'collect', 'may', 'use', 'and', 'or', 'share', 'third', 'parti', 'purpos', 'directli', 'relat', 'servic', 'provid', 'i', 'e', 'servic', 'n', 't', 'reli', 'use', 'share', 'locat', 'data', 'function', 'properli']",1
302,"['servic', 'provid', 'inform', 'user', 'servic', 'inform', 'product', 'materi', 'provid', 'websit', 'may', 'meet', 'user', 'expect', 'requir']",1
303,"['agre', 'indemnifi', 'defend', 'hold', 'harmless', 'zoom', 'affili', 'offic', 'director', 'employe', 'consult', 'agent', 'supplier', 'resel', 'third', 'parti', 'claim', 'liabil', 'damag', 'and', 'or', 'cost', 'includ', 'limit', 'attorney', 'fee', 'aris', 'use', 'servic', 'violat', 'agreement', 'infring', 'violat', 'user', 'account', 'intellectu', 'properti', 'right', 'person', 'entiti', 'applic', 'law']",1
304,"['ip', 'address', 'collect', 'use', 'view', 'approxim', 'locat']",1
305,"['zoom', 'video', 'commun', 'inc', 'zoom', 'partner', 'use', 'cooki', 'similar', 'technolog', 'analyz', 'trend', 'administ', 'track', 'user', 'movement', 'visit', 'websit']",1
306,"['servic', 'may', 'use', 'person', 'data', 'market', 'send', 'personalis', 'offer']",1
307,"['provid', 'person', 'data', 'vendor', 'servic', 'provid', 'help', 'u', 'provid', 'servic', 'zoom', 'busi', 'purpos']",1
308,"['may', 'need', 'retain', 'certain', 'inform', 'record', 'keep', 'purpos', 'complet', 'transact', 'begin', 'prior', 'request', 'delet']",1
309,"['reduc', 'time', 'period', 'take', 'legal', 'action', 'servic']",1
310,"['access', 'may', 'termin', 'without', 'warn', 'believ', 'age', '16', 'otherwis', 'inelig']",1
311,"['user', 'respons', 'harm', 'comput', 'system', 'loss', 'data', 'may', 'incur', 'download', 'materi', 'servic']",1
312,"['agre', 'zoom', 'may', 'charg', 'credit', 'card', 'payment', 'mechan', 'select', 'approv', 'zoom', 'account', 'amount', 'due', 'owe', 'servic', 'includ', 'tax', 'servic', 'fee', 'set', 'fee', 'subscript', 'fee', 'fee', 'charg', 'associ', 'account']",1
313,"['opt', 'interest', 'base', 'advertis', 'store', 'opt', 'out', 'prefer', 'cooki', 'devic']",0
314,"['delet', 'account', 'remov', 'messag', 'medium', 'contact', 'everi', 'piec', 'data', 'store', 'telegram', 'cloud', 'action', 'must', 'confirm', 'via', 'telegram', 'account', 'undon']",0
315,"['use', 'data', 'ad', 'target', 'sell', 'other']",0
316,"['log', 'text', 'file', 'contain', 'inform', 'web', 'visitor', 'user', 'agent', 'show', 'instanc', 're', 'connect', 'firefox', 'android', 'ip', 'address', 'reveal', 'approxim', 'locat', 'case', 'appli', 'servic', 'period', 'delet', 'log', 'prevent', 'user', 'session', 'track', 'time']",0
317,"['enabl', '1', 'step', 'verif', 'account', 'store', 'document', 'use', 'telegram', 'passport', 'featur', 'opt', 'set', 'password', 'recoveri', 'email']",0
318,"['send', 'photo', 'video', 'file', 'via', 'secret', 'chat', 'upload', 'item', 'encrypt', 'separ', 'key', 'know', 'server', 'key', 'file', 'locat', 'encrypt', 'time', 'secret', 'chat', 'key', 'send', 'recipi', 'download', 'deciph', 'file', 'mean', 'file', 'technic', 'one', 'telegram', 'server', 'look', 'like', 'piec', 'random', 'indecipher', 'garbag', 'everyon', 'except', 'recipi', 'know', 'random', 'data', 'stand', 'idea', 'particular', 'chat', 'belong', 'period', 'purg', 'random', 'data', 'server', 'save', 'disk', 'space']",0
319,"['content', 'publish', 'servic', 'may', 'remov', 'infring', 'copyright']",1
320,"['improv', 'secur', 'account', 'well', 'prevent', 'spam', 'abus', 'violat', 'term', 'servic', 'may', 'collect', 'metadata', 'ip', 'address', 'devic', 'telegram', 'app', 've', 'use', 'histori', 'usernam', 'chang', 'etc']",1
321,"['may', 'choos', 'block', 'cooki', 'web', 'browser', 'howev', 'disabl', 'cooki', 'abl', 'log', 'telegram', 'web']",1
322,"['agreement', 'updat', 'time', 'includ', 'way', 'neg', 'affect', 'user', 'right', 'without', 'notifi', 'chang']",1
323,"['windscrib', 'reserv', 'right', 'modifi', 'term', 'use', 'time', 'upon', 'post']",1
324,"['servic', 'take', 'credit', 'content']",1
325,"['access', 'servic', 'guarante', '99']",0
326,"['use', '3rd', 'parti', 'track', 'analyt', 'servic']",0
327,"['cooki', 'use', 'collect', 'anonym', 'aggreg', 'data', 'link', 'uniqu', 'ident']",0
